label,original_path,sample_path,filename
Potato___Early_blight,../input/plantdisease/PlantVillage/Potato___Early_blight/ab808dff-e0fc-42d0-ad9a-c4cb7f69e59b___RS_Early.B 9210.JPG,plant_disease_samples/Potato___Early_blight/ab808dff-e0fc-42d0-ad9a-c4cb7f69e59b___RS_Early.B 9210.JPG,ab808dff-e0fc-42d0-ad9a-c4cb7f69e59b___RS_Early.B 9210.JPG
Potato___Late_blight,../input/plantdisease/PlantVillage/Potato___Late_blight/9996efa6-219d-4f07-aa12-dc8ca40609b9___RS_LB 2840.JPG,plant_disease_samples/Potato___Late_blight/9996efa6-219d-4f07-aa12-dc8ca40609b9___RS_LB 2840.JPG,9996efa6-219d-4f07-aa12-dc8ca40609b9___RS_LB 2840.JPG
Potato___Late_blight,../input/plantdisease/PlantVillage/Potato___Late_blight/07fea080-7f6b-48e9-b6b5-10d7daf57610___RS_LB 3210.JPG,plant_disease_samples/Potato___Late_blight/07fea080-7f6b-48e9-b6b5-10d7daf57610___RS_LB 3210.JPG,07fea080-7f6b-48e9-b6b5-10d7daf57610___RS_LB 3210.JPG
Potato___Late_blight,../input/plantdisease/PlantVillage/Potato___Late_blight/3c20c90a-788c-4d06-acdb-107f695d901b___RS_LB 4856.JPG,plant_disease_samples/Potato___Late_blight/3c20c90a-788c-4d06-acdb-107f695d901b___RS_LB 4856.JPG,3c20c90a-788c-4d06-acdb-107f695d901b___RS_LB 4856.JPG
Potato___Late_blight,../input/plantdisease/PlantVillage/Potato___Late_blight/b74d0fd1-9af7-4053-8538-ee937236a64d___RS_LB 4918.JPG,plant_disease_samples/Potato___Late_blight/b74d0fd1-9af7-4053-8538-ee937236a64d___RS_LB 4918.JPG,b74d0fd1-9af7-4053-8538-ee937236a64d___RS_LB 4918.JPG
Potato___Late_blight,../input/plantdisease/PlantVillage/Potato___Late_blight/3f624c56-6bd1-4e7e-8fcd-d6b4480abe12___RS_LB 5215.JPG,plant_disease_samples/Potato___Late_blight/3f624c56-6bd1-4e7e-8fcd-d6b4480abe12___RS_LB 5215.JPG,3f624c56-6bd1-4e7e-8fcd-d6b4480abe12___RS_LB 5215.JPG
Potato___healthy,../input/plantdisease/PlantVillage/Potato___healthy/3c0d6888-c7e1-4cf8-9c25-9a0b8c62ba72___RS_HL 1780.JPG,plant_disease_samples/Potato___healthy/3c0d6888-c7e1-4cf8-9c25-9a0b8c62ba72___RS_HL 1780.JPG,3c0d6888-c7e1-4cf8-9c25-9a0b8c62ba72___RS_HL 1780.JPG
Potato___healthy,../input/plantdisease/PlantVillage/Potato___healthy/a8d687be-3777-403f-bae7-5c8c19340b3f___RS_HL 1738.JPG,plant_disease_samples/Potato___healthy/a8d687be-3777-403f-bae7-5c8c19340b3f___RS_HL 1738.JPG,a8d687be-3777-403f-bae7-5c8c19340b3f___RS_HL 1738.JPG
Potato___healthy,../input/plantdisease/PlantVillage/Potato___healthy/dbe4f332-9189-4b76-b30c-f0c9a55e48d3___RS_HL 1841.JPG,plant_disease_samples/Potato___healthy/dbe4f332-9189-4b76-b30c-f0c9a55e48d3___RS_HL 1841.JPG,dbe4f332-9189-4b76-b30c-f0c9a55e48d3___RS_HL 1841.JPG
Potato___healthy,../input/plantdisease/PlantVillage/Potato___healthy/22322780-95b4-4b45-b626-26b22965d55e___RS_HL 1880.JPG,plant_disease_samples/Potato___healthy/22322780-95b4-4b45-b626-26b22965d55e___RS_HL 1880.JPG,22322780-95b4-4b45-b626-26b22965d55e___RS_HL 1880.JPG
Potato___healthy,../input/plantdisease/PlantVillage/Potato___healthy/45bc0b37-ca59-4a89-8531-705af42a6fd5___RS_HL 1946.JPG,plant_disease_samples/Potato___healthy/45bc0b37-ca59-4a89-8531-705af42a6fd5___RS_HL 1946.JPG,45bc0b37-ca59-4a89-8531-705af42a6fd5___RS_HL 1946.JPG
Tomato_Bacterial_spot,../input/plantdisease/PlantVillage/Tomato_Bacterial_spot/12071472-8b0f-494e-994e-8abff2082ec4___GCREC_Bact.Sp 6130.JPG,plant_disease_samples/Tomato_Bacterial_spot/12071472-8b0f-494e-994e-8abff2082ec4___GCREC_Bact.Sp 6130.JPG,12071472-8b0f-494e-994e-8abff2082ec4___GCREC_Bact.Sp 6130.JPG
Tomato_Bacterial_spot,../input/plantdisease/PlantVillage/Tomato_Bacterial_spot/e797fd83-e984-4df6-a3a2-c19a95d19576___GCREC_Bact.Sp 3425.JPG,plant_disease_samples/Tomato_Bacterial_spot/e797fd83-e984-4df6-a3a2-c19a95d19576___GCREC_Bact.Sp 3425.JPG,e797fd83-e984-4df6-a3a2-c19a95d19576___GCREC_Bact.Sp 3425.JPG
Tomato_Bacterial_spot,../input/plantdisease/PlantVillage/Tomato_Bacterial_spot/7334e742-de72-4561-9b0d-cdd8bc3313e7___GCREC_Bact.Sp 3066.JPG,plant_disease_samples/Tomato_Bacterial_spot/7334e742-de72-4561-9b0d-cdd8bc3313e7___GCREC_Bact.Sp 3066.JPG,7334e742-de72-4561-9b0d-cdd8bc3313e7___GCREC_Bact.Sp 3066.JPG
Tomato_Bacterial_spot,../input/plantdisease/PlantVillage/Tomato_Bacterial_spot/927b90a6-6318-47b0-93fd-a1c33d2d36c5___GCREC_Bact.Sp 3641.JPG,plant_disease_samples/Tomato_Bacterial_spot/927b90a6-6318-47b0-93fd-a1c33d2d36c5___GCREC_Bact.Sp 3641.JPG,927b90a6-6318-47b0-93fd-a1c33d2d36c5___GCREC_Bact.Sp 3641.JPG
Tomato_Bacterial_spot,../input/plantdisease/PlantVillage/Tomato_Bacterial_spot/475758ba-01a6-41f7-abe4-81f2fff399b4___UF.GRC_BS_Lab Leaf 9185.JPG,plant_disease_samples/Tomato_Bacterial_spot/475758ba-01a6-41f7-abe4-81f2fff399b4___UF.GRC_BS_Lab Leaf 9185.JPG,475758ba-01a6-41f7-abe4-81f2fff399b4___UF.GRC_BS_Lab Leaf 9185.JPG
Tomato_Early_blight,../input/plantdisease/PlantVillage/Tomato_Early_blight/b0bc0b85-fce9-43cc-87d1-481d4a107b5c___RS_Erly.B 9451.JPG,plant_disease_samples/Tomato_Early_blight/b0bc0b85-fce9-43cc-87d1-481d4a107b5c___RS_Erly.B 9451.JPG,b0bc0b85-fce9-43cc-87d1-481d4a107b5c___RS_Erly.B 9451.JPG
Tomato_Early_blight,../input/plantdisease/PlantVillage/Tomato_Early_blight/5daba301-b6f9-4fc4-8be7-a918d3a7554c___RS_Erly.B 8282.JPG,plant_disease_samples/Tomato_Early_blight/5daba301-b6f9-4fc4-8be7-a918d3a7554c___RS_Erly.B 8282.JPG,5daba301-b6f9-4fc4-8be7-a918d3a7554c___RS_Erly.B 8282.JPG
Tomato_Early_blight,../input/plantdisease/PlantVillage/Tomato_Early_blight/c2a64948-bda7-4a89-aec6-be714ba7cf99___RS_Erly.B 8330.JPG,plant_disease_samples/Tomato_Early_blight/c2a64948-bda7-4a89-aec6-be714ba7cf99___RS_Erly.B 8330.JPG,c2a64948-bda7-4a89-aec6-be714ba7cf99___RS_Erly.B 8330.JPG
Tomato_Early_blight,../input/plantdisease/PlantVillage/Tomato_Early_blight/e7d248e4-a5e5-431f-9061-6383c14d8526___RS_Erly.B 7426.JPG,plant_disease_samples/Tomato_Early_blight/e7d248e4-a5e5-431f-9061-6383c14d8526___RS_Erly.B 7426.JPG,e7d248e4-a5e5-431f-9061-6383c14d8526___RS_Erly.B 7426.JPG
Tomato_Early_blight,../input/plantdisease/PlantVillage/Tomato_Early_blight/fb3352cc-9189-4214-8b94-a60c6a392c96___RS_Erly.B 9600.JPG,plant_disease_samples/Tomato_Early_blight/fb3352cc-9189-4214-8b94-a60c6a392c96___RS_Erly.B 9600.JPG,fb3352cc-9189-4214-8b94-a60c6a392c96___RS_Erly.B 9600.JPG
Tomato_Late_blight,../input/plantdisease/PlantVillage/Tomato_Late_blight/1a69b38b-c4eb-42c4-9584-bcb14fb8db0c___GHLB2 Leaf 9011.JPG,plant_disease_samples/Tomato_Late_blight/1a69b38b-c4eb-42c4-9584-bcb14fb8db0c___GHLB2 Leaf 9011.JPG,1a69b38b-c4eb-42c4-9584-bcb14fb8db0c___GHLB2 Leaf 9011.JPG
Tomato_Late_blight,../input/plantdisease/PlantVillage/Tomato_Late_blight/82090f30-20fa-4c5e-9bcc-9cfe7d64b56a___RS_Late.B 5395.JPG,plant_disease_samples/Tomato_Late_blight/82090f30-20fa-4c5e-9bcc-9cfe7d64b56a___RS_Late.B 5395.JPG,82090f30-20fa-4c5e-9bcc-9cfe7d64b56a___RS_Late.B 5395.JPG
Tomato_Late_blight,../input/plantdisease/PlantVillage/Tomato_Late_blight/cec774a0-92f4-4446-af6a-f0743e667461___RS_Late.B 5171.JPG,plant_disease_samples/Tomato_Late_blight/cec774a0-92f4-4446-af6a-f0743e667461___RS_Late.B 5171.JPG,cec774a0-92f4-4446-af6a-f0743e667461___RS_Late.B 5171.JPG
Tomato_Late_blight,../input/plantdisease/PlantVillage/Tomato_Late_blight/13668efa-2c92-4e5a-94e1-e0bc53aab6c6___RS_Late.B 6962.JPG,plant_disease_samples/Tomato_Late_blight/13668efa-2c92-4e5a-94e1-e0bc53aab6c6___RS_Late.B 6962.JPG,13668efa-2c92-4e5a-94e1-e0bc53aab6c6___RS_Late.B 6962.JPG
Tomato_Late_blight,../input/plantdisease/PlantVillage/Tomato_Late_blight/e5b328bf-1f13-4831-bd63-b1bdb30f02d9___GHLB2 Leaf 8674.JPG,plant_disease_samples/Tomato_Late_blight/e5b328bf-1f13-4831-bd63-b1bdb30f02d9___GHLB2 Leaf 8674.JPG,e5b328bf-1f13-4831-bd63-b1bdb30f02d9___GHLB2 Leaf 8674.JPG
Tomato_Leaf_Mold,../input/plantdisease/PlantVillage/Tomato_Leaf_Mold/37c86551-b516-4b74-bcee-24b2ed387b06___Crnl_L.Mold 9046.JPG,plant_disease_samples/Tomato_Leaf_Mold/37c86551-b516-4b74-bcee-24b2ed387b06___Crnl_L.Mold 9046.JPG,37c86551-b516-4b74-bcee-24b2ed387b06___Crnl_L.Mold 9046.JPG
Tomato_Leaf_Mold,../input/plantdisease/PlantVillage/Tomato_Leaf_Mold/f48883d4-b37c-46b9-8e3d-a3cb04ff6067___Crnl_L.Mold 6641.JPG,plant_disease_samples/Tomato_Leaf_Mold/f48883d4-b37c-46b9-8e3d-a3cb04ff6067___Crnl_L.Mold 6641.JPG,f48883d4-b37c-46b9-8e3d-a3cb04ff6067___Crnl_L.Mold 6641.JPG
Tomato_Leaf_Mold,../input/plantdisease/PlantVillage/Tomato_Leaf_Mold/eab7f198-a04b-4e25-b329-41e7666d1fde___Crnl_L.Mold 6773.JPG,plant_disease_samples/Tomato_Leaf_Mold/eab7f198-a04b-4e25-b329-41e7666d1fde___Crnl_L.Mold 6773.JPG,eab7f198-a04b-4e25-b329-41e7666d1fde___Crnl_L.Mold 6773.JPG
Tomato_Leaf_Mold,../input/plantdisease/PlantVillage/Tomato_Leaf_Mold/8f4781c0-53fa-4056-839e-400915d8aa5e___Crnl_L.Mold 6683.JPG,plant_disease_samples/Tomato_Leaf_Mold/8f4781c0-53fa-4056-839e-400915d8aa5e___Crnl_L.Mold 6683.JPG,8f4781c0-53fa-4056-839e-400915d8aa5e___Crnl_L.Mold 6683.JPG
Tomato_Leaf_Mold,../input/plantdisease/PlantVillage/Tomato_Leaf_Mold/2a27ed39-5f6c-490e-8dae-8b1df4683dbc___Crnl_L.Mold 9099.JPG,plant_disease_samples/Tomato_Leaf_Mold/2a27ed39-5f6c-490e-8dae-8b1df4683dbc___Crnl_L.Mold 9099.JPG,2a27ed39-5f6c-490e-8dae-8b1df4683dbc___Crnl_L.Mold 9099.JPG
Tomato_Septoria_leaf_spot,../input/plantdisease/PlantVillage/Tomato_Septoria_leaf_spot/f41bad8b-ee8f-4f11-91fb-cfd485121c67___JR_Sept.L.S 8476.JPG,plant_disease_samples/Tomato_Septoria_leaf_spot/f41bad8b-ee8f-4f11-91fb-cfd485121c67___JR_Sept.L.S 8476.JPG,f41bad8b-ee8f-4f11-91fb-cfd485121c67___JR_Sept.L.S 8476.JPG
Tomato_Septoria_leaf_spot,../input/plantdisease/PlantVillage/Tomato_Septoria_leaf_spot/b3d8a315-c414-40b7-81d5-c86c39104884___Matt.S_CG 7668.JPG,plant_disease_samples/Tomato_Septoria_leaf_spot/b3d8a315-c414-40b7-81d5-c86c39104884___Matt.S_CG 7668.JPG,b3d8a315-c414-40b7-81d5-c86c39104884___Matt.S_CG 7668.JPG
Tomato_Septoria_leaf_spot,../input/plantdisease/PlantVillage/Tomato_Septoria_leaf_spot/d265781b-1492-47a0-a699-8373c16f16d5___Matt.S_CG 0830.JPG,plant_disease_samples/Tomato_Septoria_leaf_spot/d265781b-1492-47a0-a699-8373c16f16d5___Matt.S_CG 0830.JPG,d265781b-1492-47a0-a699-8373c16f16d5___Matt.S_CG 0830.JPG
Tomato_Septoria_leaf_spot,../input/plantdisease/PlantVillage/Tomato_Septoria_leaf_spot/22b43447-5aed-4a33-ba5c-d422d6f6bbce___JR_Sept.L.S 8421.JPG,plant_disease_samples/Tomato_Septoria_leaf_spot/22b43447-5aed-4a33-ba5c-d422d6f6bbce___JR_Sept.L.S 8421.JPG,22b43447-5aed-4a33-ba5c-d422d6f6bbce___JR_Sept.L.S 8421.JPG
Tomato_Septoria_leaf_spot,../input/plantdisease/PlantVillage/Tomato_Septoria_leaf_spot/654d6822-7309-4154-8662-2b3a2d38d49c___Matt.S_CG 7700.JPG,plant_disease_samples/Tomato_Septoria_leaf_spot/654d6822-7309-4154-8662-2b3a2d38d49c___Matt.S_CG 7700.JPG,654d6822-7309-4154-8662-2b3a2d38d49c___Matt.S_CG 7700.JPG
Tomato_Spider_mites_Two_spotted_spider_mite,../input/plantdisease/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/d9107a2d-f6be-441a-a0d1-3e6daf981704___Com.G_SpM_FL 9379.JPG,plant_disease_samples/Tomato_Spider_mites_Two_spotted_spider_mite/d9107a2d-f6be-441a-a0d1-3e6daf981704___Com.G_SpM_FL 9379.JPG,d9107a2d-f6be-441a-a0d1-3e6daf981704___Com.G_SpM_FL 9379.JPG
Tomato_Spider_mites_Two_spotted_spider_mite,../input/plantdisease/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/a528e3eb-903e-42d6-8bd8-75157b2da5d8___Com.G_SpM_FL 9011.JPG,plant_disease_samples/Tomato_Spider_mites_Two_spotted_spider_mite/a528e3eb-903e-42d6-8bd8-75157b2da5d8___Com.G_SpM_FL 9011.JPG,a528e3eb-903e-42d6-8bd8-75157b2da5d8___Com.G_SpM_FL 9011.JPG
Tomato_Spider_mites_Two_spotted_spider_mite,../input/plantdisease/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/a90a575f-937a-4975-a750-b83ea905900d___Com.G_SpM_FL 9337.JPG,plant_disease_samples/Tomato_Spider_mites_Two_spotted_spider_mite/a90a575f-937a-4975-a750-b83ea905900d___Com.G_SpM_FL 9337.JPG,a90a575f-937a-4975-a750-b83ea905900d___Com.G_SpM_FL 9337.JPG
Tomato_Spider_mites_Two_spotted_spider_mite,../input/plantdisease/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/7580fbd3-79a7-494b-8387-d2a11aa16ce7___Com.G_SpM_FL 1290.JPG,plant_disease_samples/Tomato_Spider_mites_Two_spotted_spider_mite/7580fbd3-79a7-494b-8387-d2a11aa16ce7___Com.G_SpM_FL 1290.JPG,7580fbd3-79a7-494b-8387-d2a11aa16ce7___Com.G_SpM_FL 1290.JPG
Tomato_Spider_mites_Two_spotted_spider_mite,../input/plantdisease/PlantVillage/Tomato_Spider_mites_Two_spotted_spider_mite/0f514b75-2c74-4075-b9c7-5d469ab292ba___Com.G_SpM_FL 1205.JPG,plant_disease_samples/Tomato_Spider_mites_Two_spotted_spider_mite/0f514b75-2c74-4075-b9c7-5d469ab292ba___Com.G_SpM_FL 1205.JPG,0f514b75-2c74-4075-b9c7-5d469ab292ba___Com.G_SpM_FL 1205.JPG
Tomato__Target_Spot,../input/plantdisease/PlantVillage/Tomato__Target_Spot/8d5ad6d9-7070-4022-a423-6812a09823f5___Com.G_TgS_FL 1029.JPG,plant_disease_samples/Tomato__Target_Spot/8d5ad6d9-7070-4022-a423-6812a09823f5___Com.G_TgS_FL 1029.JPG,8d5ad6d9-7070-4022-a423-6812a09823f5___Com.G_TgS_FL 1029.JPG
Tomato__Target_Spot,../input/plantdisease/PlantVillage/Tomato__Target_Spot/27eb06a0-f8b9-44db-a169-4e3e6553f3f2___Com.G_TgS_FL 1108.JPG,plant_disease_samples/Tomato__Target_Spot/27eb06a0-f8b9-44db-a169-4e3e6553f3f2___Com.G_TgS_FL 1108.JPG,27eb06a0-f8b9-44db-a169-4e3e6553f3f2___Com.G_TgS_FL 1108.JPG
Tomato__Target_Spot,../input/plantdisease/PlantVillage/Tomato__Target_Spot/2334031d-35e6-4e99-bfee-e21c5fa1a75f___Com.G_TgS_FL 8334.JPG,plant_disease_samples/Tomato__Target_Spot/2334031d-35e6-4e99-bfee-e21c5fa1a75f___Com.G_TgS_FL 8334.JPG,2334031d-35e6-4e99-bfee-e21c5fa1a75f___Com.G_TgS_FL 8334.JPG
Tomato__Target_Spot,../input/plantdisease/PlantVillage/Tomato__Target_Spot/9b7cfdd0-77b2-4d9c-ba23-723b8c1fb65a___Com.G_TgS_FL 1058.JPG,plant_disease_samples/Tomato__Target_Spot/9b7cfdd0-77b2-4d9c-ba23-723b8c1fb65a___Com.G_TgS_FL 1058.JPG,9b7cfdd0-77b2-4d9c-ba23-723b8c1fb65a___Com.G_TgS_FL 1058.JPG
Tomato__Target_Spot,../input/plantdisease/PlantVillage/Tomato__Target_Spot/a4d3047a-8db1-42b6-9fe0-943a65159116___Com.G_TgS_FL 9975.JPG,plant_disease_samples/Tomato__Target_Spot/a4d3047a-8db1-42b6-9fe0-943a65159116___Com.G_TgS_FL 9975.JPG,a4d3047a-8db1-42b6-9fe0-943a65159116___Com.G_TgS_FL 9975.JPG
Tomato__Tomato_YellowLeaf__Curl_Virus,../input/plantdisease/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/793f6f20-096b-4a9e-bd2d-7d9c7cb0f5c2___UF.GRC_YLCV_Lab 01666.JPG,plant_disease_samples/Tomato__Tomato_YellowLeaf__Curl_Virus/793f6f20-096b-4a9e-bd2d-7d9c7cb0f5c2___UF.GRC_YLCV_Lab 01666.JPG,793f6f20-096b-4a9e-bd2d-7d9c7cb0f5c2___UF.GRC_YLCV_Lab 01666.JPG
Tomato__Tomato_YellowLeaf__Curl_Virus,../input/plantdisease/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/95b27a95-6bc1-44ff-b40b-dab246ff48ac___UF.GRC_YLCV_Lab 01638.JPG,plant_disease_samples/Tomato__Tomato_YellowLeaf__Curl_Virus/95b27a95-6bc1-44ff-b40b-dab246ff48ac___UF.GRC_YLCV_Lab 01638.JPG,95b27a95-6bc1-44ff-b40b-dab246ff48ac___UF.GRC_YLCV_Lab 01638.JPG
Tomato__Tomato_YellowLeaf__Curl_Virus,../input/plantdisease/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/7c8981a1-fcac-441b-9f68-03e275441eb6___UF.GRC_YLCV_Lab 02853.JPG,plant_disease_samples/Tomato__Tomato_YellowLeaf__Curl_Virus/7c8981a1-fcac-441b-9f68-03e275441eb6___UF.GRC_YLCV_Lab 02853.JPG,7c8981a1-fcac-441b-9f68-03e275441eb6___UF.GRC_YLCV_Lab 02853.JPG
Tomato__Tomato_YellowLeaf__Curl_Virus,../input/plantdisease/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/8c919add-80cd-4c60-950e-1a34bf08928a___YLCV_NREC 2632.JPG,plant_disease_samples/Tomato__Tomato_YellowLeaf__Curl_Virus/8c919add-80cd-4c60-950e-1a34bf08928a___YLCV_NREC 2632.JPG,8c919add-80cd-4c60-950e-1a34bf08928a___YLCV_NREC 2632.JPG
Tomato__Tomato_YellowLeaf__Curl_Virus,../input/plantdisease/PlantVillage/Tomato__Tomato_YellowLeaf__Curl_Virus/127cf470-4146-44dc-bbaa-1923293bf129___UF.GRC_YLCV_Lab 02652.JPG,plant_disease_samples/Tomato__Tomato_YellowLeaf__Curl_Virus/127cf470-4146-44dc-bbaa-1923293bf129___UF.GRC_YLCV_Lab 02652.JPG,127cf470-4146-44dc-bbaa-1923293bf129___UF.GRC_YLCV_Lab 02652.JPG
Tomato__Tomato_mosaic_virus,../input/plantdisease/PlantVillage/Tomato__Tomato_mosaic_virus/b8a9c9dd-fbba-41e2-b75d-7fd7f990cda0___PSU_CG 2185.JPG,plant_disease_samples/Tomato__Tomato_mosaic_virus/b8a9c9dd-fbba-41e2-b75d-7fd7f990cda0___PSU_CG 2185.JPG,b8a9c9dd-fbba-41e2-b75d-7fd7f990cda0___PSU_CG 2185.JPG
Tomato__Tomato_mosaic_virus,../input/plantdisease/PlantVillage/Tomato__Tomato_mosaic_virus/d82c0de0-bd22-464c-b511-1aad0a44f005___PSU_CG 2384.JPG,plant_disease_samples/Tomato__Tomato_mosaic_virus/d82c0de0-bd22-464c-b511-1aad0a44f005___PSU_CG 2384.JPG,d82c0de0-bd22-464c-b511-1aad0a44f005___PSU_CG 2384.JPG
Tomato__Tomato_mosaic_virus,../input/plantdisease/PlantVillage/Tomato__Tomato_mosaic_virus/c56876f0-d18b-4a90-86d1-7f90e8e15fac___PSU_CG 2240.JPG,plant_disease_samples/Tomato__Tomato_mosaic_virus/c56876f0-d18b-4a90-86d1-7f90e8e15fac___PSU_CG 2240.JPG,c56876f0-d18b-4a90-86d1-7f90e8e15fac___PSU_CG 2240.JPG
Tomato__Tomato_mosaic_virus,../input/plantdisease/PlantVillage/Tomato__Tomato_mosaic_virus/59168647-7103-404e-86b4-2be640a85a98___PSU_CG 2156.JPG,plant_disease_samples/Tomato__Tomato_mosaic_virus/59168647-7103-404e-86b4-2be640a85a98___PSU_CG 2156.JPG,59168647-7103-404e-86b4-2be640a85a98___PSU_CG 2156.JPG
